product_sku,product_name,sales_date,sales_year,sales_month,total_quantity
DNPA-0003-WH-F,เสื้อยืด T-Shirt แขนสั้น Mickey 1928 (สีขาว),2025-10-01,2025,10,12
DNPA-0004-BK-F,เสื้อยืด T-Shirt แขนสั้น Mickey & Goofy (สีดำ),2025-10-01,2025,10,21
DNPA-0004-BK-L,เสื้อยืด T-Shirt แขนสั้น Mickey & Goofy (สีดำ),2025-10-01,2025,10,1
DNPA-0004-BK-M,เสื้อยืด T-Shirt แขนสั้น Mickey & Goofy (สีดำ),2025-10-01,2025,10,0
DNPA-0004-WH-F,เสื้อยืด T-Shirt แขนสั้น Mickey & Goofy (สีขาว),2025-10-01,2025,10,26
DNPA-0010-BK-F,เสื้อยืด T-Shirt แขนสั้น Mickey LOVE (สีดำ),2025-10-01,2025,10,23
DNPA-0010-BK-L,เสื้อยืด T-Shirt แขนสั้น Mickey LOVE (สีดำ),2025-10-01,2025,10,0
DNPA-0010-BK-M,เสื้อยืด T-Shirt แขนสั้น Mickey LOVE (สีดำ),2025-10-01,2025,10,2
DNPA-0010-WH-F,เสื้อยืด T-Shirt แขนสั้น Mickey LOVE (สีขาว),2025-10-01,2025,10,25
DNPA-0010-WH-L,เสื้อยืด T-Shirt แขนสั้น Mickey LOVE (สีขาว),2025-10-01,2025,10,0
DNPA-0010-WH-M,เสื้อยืด T-Shirt แขนสั้น Mickey LOVE (สีขาว),2025-10-01,2025,10,0
DNPJ-0049-BU-2XL,กางเกงขาสั้นเด็ก กางเกงเชิงเด็ก รหัส DNPJ-0049 ลาย🏰แบรนด์ PAJARA (สีฟ้า🩵ไซส์ 2XL),2025-10-01,2025,10,5
DNPJ-0049-BU-L,กางเกงขาสั้นเด็ก กางเกงเชิงเด็ก รหัส DNPJ-0049 ลาย🏰แบรนด์ PAJARA (สีฟ้า🩵ไซส์ L),2025-10-01,2025,10,5
